2020-04-12 10:07:40,519 [AUDIT] Token created by 'anonymous': tokenId='45509e2d-d623-4b2a-b268-317738e9bef8', issuer='jfrou@01e5pxqrpt9mar5tnv5nk3fzca', subject='jfrou@01e5pxqrpt9mar5tnv5nk3fzca', expiry=none, refreshable=false
2020-04-12 11:48:09,388 [AUDIT] Token created by 'jffe@000': tokenId='d934e7b2-6780-44a6-ab1c-52f442a4d389', issuer='jffe@000', subject='jffe@000', expiry=1586692689384, refreshable=false
2020-04-12 11:48:09,388 [AUDIT] Token created by 'jffe@000': tokenId='6406ce37-3635-4e2a-9b15-6e784c94869c', issuer='jffe@000', subject='jffe@000', expiry=1586692689384, refreshable=false
2020-04-12 11:48:09,388 [AUDIT] Token created by 'jffe@000': tokenId='f1b9c8da-c355-40ee-8f32-b5017acb0aee', issuer='jffe@000', subject='jffe@000', expiry=1586692689384, refreshable=false
2020-04-12 11:48:18,172 [AUDIT] Token created by 'jffe@000': tokenId='25b2407a-7a33-4d66-8710-a29e990b7ce3', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1586692698169, refreshable=false
2020-04-12 11:49:07,989 [AUDIT] Token created by 'jffe@000': tokenId='15a82493-8edb-49e9-b3d2-f070bf946d93', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1586692747986, refreshable=false
2020-04-12 11:58:09,380 [AUDIT] Token created by 'jffe@000': tokenId='f3fb6d28-0f88-4365-870e-97865622c77f', issuer='jffe@000', subject='jffe@000', expiry=1586693289376, refreshable=false
2020-04-12 11:58:09,381 [AUDIT] Token created by 'jffe@000': tokenId='de038504-ef90-4541-a289-237185882377', issuer='jffe@000', subject='jffe@000', expiry=1586693289378, refreshable=false
2020-04-12 11:58:09,381 [AUDIT] Token created by 'jffe@000': tokenId='513ee51d-a99b-43d8-8e31-7cc33bb7453b', issuer='jffe@000', subject='jffe@000', expiry=1586693289378, refreshable=false
2020-04-12 11:58:09,381 [AUDIT] Token created by 'jffe@000': tokenId='6c98762a-c18a-4771-9a14-8d8387c3016a', issuer='jffe@000', subject='jffe@000', expiry=1586693289377, refreshable=false
2020-04-12 11:59:07,991 [AUDIT] Token created by 'jffe@000': tokenId='ca2d6894-5b06-46cf-a232-ea3aab1b82ff', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1586693347989, refreshable=false
